ID,Response
50883,0.08247190192854674
50884,0.12106248311659433
50885,0.4260523458081634
50886,0.1050593515869731
50887,0.05221486405435074
50888,0.07606210070538894
50889,0.3665624307315876
50890,0.49576797309629594
50891,0.1238805706077724
50892,0.13028795353717387
50893,0.051688051258928946
50894,0.36331044565736664
50895,0.10048576671086333
50896,0.09730321636967003
50897,0.39778113473193966
50898,0.4648314772829997
50899,0.11280244042017222
50900,0.21999337731470667
50901,0.5058746161571757
50902,0.05917949451005337
50903,0.030447940550240356
50904,0.3628968641172961
50905,0.5884074661504376
50906,0.022319197566651187
50907,0.1295031649159665
50908,0.10340920858203768
50909,0.39202896379962915
50910,0.4736178626558615
50911,0.06394922241756693
50912,0.125463497389535
50913,0.3851070614817802
50914,0.04007281957674364
50915,0.06288038855495792
50916,0.029228845315259846
50917,0.564399345020853
50918,0.5773466460295597
50919,0.19217297032148484
50920,0.09038488634164459
50921,0.374562434851853
50922,0.03234802284451607
50923,0.027986560404137346
50924,0.06583695249983174
50925,0.37987843160543305
50926,0.10821236429400337
50927,0.5268562652693102
50928,0.29451778804447193
50929,0.08161890448630309
50930,0.021613894494858836
50931,0.05545806105740303
50932,0.6151532901530232
50933,0.1154152212319447
50934,0.03614595147561993
50935,0.5813015867621386
50936,0.06372544335205951
50937,0.5170497646698053
50938,0.03925124356753617
50939,0.4230521284977032
50940,0.44420864167167917
50941,0.40445240834455604
50942,0.4719506165177153
50943,0.3144420745068451
50944,0.042411859669951105
50945,0.4311961859213384
50946,0.17105796443939175
50947,0.46522824520097317
50948,0.42063821823928393
50949,0.2595434525244373
50950,0.352032284607416
50951,0.537828154141327
50952,0.44593628508906025
50953,0.3831721992798411
50954,0.03145503860386376
50955,0.040095079749874925
50956,0.08063209033428384
50957,0.004039970661212351
50958,0.09640308452813884
50959,0.0024104213121616206
50960,0.5338300170980453
50961,0.019428794876823256
50962,0.10464885974566851
50963,0.0408851008236837
50964,0.10127668303177777
50965,0.5439649666385534
50966,0.10380950269288777
50967,0.44150866311636805
50968,0.4545718522659387
50969,0.07250748025559373
50970,0.05214911183098997
50971,0.032117565205743166
50972,0.39150510303529057
50973,0.015407098273535699
50974,0.1431513709032904
50975,0.14732767654268472
50976,0.1315405692002568
50977,0.1784505186776336
50978,0.2436874773827378
50979,0.054086187751194024
50980,0.5718208592531255
50981,0.023910877490761023
50982,0.043996886044537734
50983,0.5489606277028514
50984,0.17212488058610098
